CPU Name,Rating,Rank,Num Thread Execution units,Avg Speed,Stock Speed,Samples,Single Thread,maxTDP,turbospeed,cores per cpu,logicals per core,CPU First Seen in Charts,class,Other Names,URL (https://www.cpubenchmark.net/)
[Dual CPU] AMD Ryzen Threadripper PRO 3995WX,123631,1,256,2700,2700,1,2652,280,4200,64,2,9/4/2020,Desktop,AMD Ryzen Threadripper PRO 3995WX 64-Cores,cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+3995WX&id=3837&cpuCount=2
[Dual CPU] AMD EPYC 7763,119707,2,256,2989,2450,2,2543,280,3500,64,2,3/19/2021,Server,AMD EPYC 7763 64-Core Processor,cpu.php?cpu=AMD+EPYC+7763&id=4207&cpuCount=2
[Dual CPU] AMD EPYC 7643,115676,3,192,3640,2300,1,2689,225,3600,48,2,3/19/2021,Server,AMD EPYC 7643 48-Core Processor,cpu.php?cpu=AMD+EPYC+7643&id=4205&cpuCount=2
[Dual CPU] AMD EPYC 7543,103492,4,128,2800,2800,1,2807,240,3700,32,2,6/16/2021,Server,AMD EPYC 7543 32-Core Processor,cpu.php?cpu=AMD+EPYC+7543&id=4404&cpuCount=2
[Dual CPU] AMD EPYC 7H12,100817,5,256,2600,2600,2,2053,280,3300,64,2,12/1/2019,Server,AMD EPYC 7H12 64-Core Processor,cpu.php?cpu=AMD+EPYC+7H12&id=3618&cpuCount=2
[Dual CPU] AMD EPYC 7742,99760,6,256,2250,2250,2,2143,225,3400,64,2,9/13/2019,Server,AMD EPYC 7742 64-Core Processor,cpu.php?cpu=AMD+EPYC+7742&id=3547&cpuCount=2
[Dual CPU] AMD Ryzen Threadripper PRO 3975WX,98811,7,128,3500,3500,1,2676,280,4200,32,2,10/5/2020,Desktop,AMD Ryzen Threadripper PRO 3975WX 32-Cores,cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+3975WX&id=3851&cpuCount=2
[Dual CPU] AMD EPYC 7662,96504,8,256,2038,2000,4,2071,225,3300,64,2,4/6/2021,Server,AMD EPYC 7662 64-Core Processor,cpu.php?cpu=AMD+EPYC+7662&id=4251&cpuCount=2
[Dual CPU] AMD EPYC 7713,95337,9,256,1996,2000,1,1931,225,3675,64,2,3/19/2021,Server,AMD EPYC 7713 64-Core Processor,cpu.php?cpu=AMD+EPYC+7713&id=4206&cpuCount=2
[Dual CPU] AMD EPYC 74F3,94726,10,96,3194,3200,1,2963,240,4000,24,2,10/9/2021,Server,AMD EPYC 74F3 24-Core Processor,cpu.php?cpu=AMD+EPYC+74F3&id=4560&cpuCount=2
[Dual CPU] Intel Xeon Platinum 8368 @ 2.40GHz,92054,11,152,3400,2400,1,2406,270,3400,38,2,4/29/2021,Server,Intel(R) Xeon(R) Platinum 8368 CPU @ 2.40GHz,cpu.php?cpu=Intel+Xeon+Platinum+8368+%40+2.40GHz&id=4307&cpuCount=2
[Dual CPU] AMD EPYC 7702,91878,12,256,2000,2000,5,2072,200,3350,64,2,5/8/2020,Server,AMD EPYC 7702 64-Core Processor,cpu.php?cpu=AMD+EPYC+7702&id=3719&cpuCount=2
[Dual CPU] Intel Xeon Platinum 8380 @ 2.30GHz,91484,13,160,3394,2300,1,2384,270,3400,40,2,8/17/2021,Server,Intel(R) Xeon(R) Platinum 8380 CPU @ 2.30GHz,cpu.php?cpu=Intel+Xeon+Platinum+8380+%40+2.30GHz&id=4483&cpuCount=2
[Dual CPU] AMD EPYC 7552,91019,14,192,2196,2200,1,2040,200,3300,48,2,8/15/2020,Server,AMD EPYC 7552 48-Core Processor,cpu.php?cpu=AMD+EPYC+7552&id=3822&cpuCount=2
[Dual CPU] Intel Xeon Platinum 8375C @ 2.90GHz,90419,15,128,3503,2900,1,2467,300,3500,32,2,8/17/2021,Server,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,cpu.php?cpu=Intel+Xeon+Platinum+8375C+%40+2.90GHz&id=4486&cpuCount=2
AMD EPYC 7763,87767,16,128,2450,2450,12,2639,280,3500,64,2,3/19/2021,Server,AMD EPYC 7763 64-Core Processor,cpu.php?cpu=AMD+EPYC+7763&id=4207
[Dual CPU] AMD EPYC 75F3,87760,17,128,2951,2950,2,2125,280,4000,32,2,6/24/2021,Server,AMD EPYC 75F3 32-Core Processor,cpu.php?cpu=AMD+EPYC+75F3&id=4416&cpuCount=2
AMD EPYC 7J13,86006,18,128,2545,2550,46,2387,,3500,64,2,4/24/2021,Server,AMD EPYC 7J13 64-Core Processor,cpu.php?cpu=AMD+EPYC+7J13&id=4300
